Episode,Total_Reward
1,-5.800000000002001
2,62.29999999998745
3,-82.20000000000027
4,63.100000000006276
5,-64.64999999998145
6,-45.200000000013006
7,23.649999999997817
8,-209.95000000000618
9,8.949999999995725
10,-43.20000000000982
11,148.45000000000164
12,-38.79999999999427
13,-156.44999999999482
14,205.54999999999745
15,-97.39999999999736
16,-143.7499999999959
17,-106.05000000000655
18,-2.8999999999941792
19,-15.750000000012278
20,32.199999999998454
21,22.299999999990177
22,-94.25000000000546
23,-56.150000000006
24,-215.40000000000782
25,25.100000000003092
26,-39.05000000000564
27,116.999999999985
28,-108.80000000000246
29,136.50000000000045
30,80.84999999999718
31,-104.45000000001119
32,-13.050000000002456
33,62.20000000000755
34,-117.650000000006
35,-51.65000000000782
36,60.600000000000364
37,17.050000000002456
38,37.40000000000509
39,-44.19999999999163
40,157.15000000001146
41,-24.349999999998545
42,76.1999999999839
43,-156.04999999999836
44,-183.94999999999482
45,-138.55000000000382
46,-201.25
47,-104.09999999999764
48,105.89999999999236
49,7.049999999989268
50,-33.499999999998636
