episode,stock,reward,net_worth,return_pct,trades,win_rate
1,recltd,17.04999999998654,10017.049999999987,0.1704999999998654,19.0,100.0
2,petronet,89.5999999999949,10089.599999999995,0.8959999999999491,32.0,100.0
3,pplpharma,149.80000000000473,10149.800000000005,1.4980000000000473,67.0,100.0
4,axisbank,42.80000000000655,10042.800000000007,0.4280000000000655,8.0,100.0
5,polymed,-427.5,9572.5,-4.275,5.0,0.0
6,metropolis,-37.25,9962.75,-0.3725,5.0,0.0
7,coforge,1.0999999999967258,10001.099999999997,0.010999999999967258,2.0,100.0
8,itc,-39.00000000000546,9960.999999999995,-0.3900000000000546,23.0,0.0
9,rajeshexpo,-76.19999999999527,9923.800000000005,-0.7619999999999527,32.0,0.0
10,safari,-8.200000000000728,9991.8,-0.08200000000000728,4.0,0.0
11,lemontree,96.60000000000036,10096.6,0.9660000000000036,69.0,100.0
12,awl,290.0,10290.0,2.9000000000000004,29.0,100.0
13,amber,-55.89999999999782,9944.100000000002,-0.5589999999999782,2.0,0.0
14,cello,-107.70000000000073,9892.3,-1.0770000000000073,10.0,0.0
15,castrolind,-16.40000000001055,9983.59999999999,-0.1640000000001055,47.0,0.0
16,gujgasltd,170.9999999999909,10170.99999999999,1.7099999999999091,18.0,100.0
17,utiamc,-123.5,9876.5,-1.2349999999999999,10.0,0.0
18,godrejcp,136.49999999999454,10136.499999999995,1.3649999999999454,7.0,100.0
19,fineorg,-30.399999999999636,9969.6,-0.3039999999999964,2.0,0.0
20,sbicard,-70.40000000000146,9929.599999999999,-0.7040000000000145,13.0,0.0
21,iti,89.59999999999854,10089.599999999999,0.8959999999999855,32.0,100.0
22,bhel,-195.0999999999931,9804.900000000007,-1.950999999999931,32.0,0.0
23,amber,61.39999999999782,10061.399999999998,0.6139999999999782,2.0,100.0
24,lici,-37.79999999999745,9962.200000000003,-0.3779999999999745,9.0,0.0
25,lichsgfin,-27.0,9973.0,-0.27,15.0,0.0
26,tvsmotor,-44.599999999998545,9955.400000000001,-0.44599999999998546,4.0,0.0
27,angelone,-77.10000000000946,9922.89999999999,-0.7710000000000946,3.0,0.0
28,trident,-118.54999999999745,9881.450000000003,-1.1854999999999747,261.0,0.0
29,fincables,-53.54999999999927,9946.45,-0.5354999999999928,9.0,0.0
30,doms,-54.75,9945.25,-0.5475,5.0,0.0
31,lici,-20.5,9979.5,-0.20500000000000002,10.0,0.0
32,lxchem,-10.350000000000364,9989.65,-0.10350000000000363,40.0,0.0
33,brigade,334.4999999999982,10334.499999999998,3.344999999999982,8.0,100.0
34,happstmnds,-36.59999999999127,9963.400000000009,-0.36599999999991273,12.0,0.0
35,jublfood,-86.44999999999709,9913.550000000003,-0.8644999999999708,19.0,0.0
36,sunpharma,105.0,10105.0,1.05,6.0,100.0
37,indusindbk,48.30000000000291,10048.300000000003,0.4830000000000291,6.0,100.0
38,ofss,122.20000000000255,10122.200000000003,1.2220000000000255,1.0,100.0
39,happstmnds,-78.60000000000218,9921.399999999998,-0.7860000000000218,12.0,0.0
40,powerindia,0.0,10000.0,0.0,0.0,0.0
41,tatacomm,-23.25,9976.75,-0.23249999999999998,5.0,0.0
42,adanipower,-107.200000000008,9892.799999999992,-1.07200000000008,16.0,0.0
43,jublpharma,195.29999999999563,10195.299999999996,1.9529999999999565,14.0,100.0
44,ajantpharm,23.80000000000291,10023.800000000003,0.2380000000000291,4.0,100.0
45,lt,210.1500000000051,10210.150000000005,2.1015000000000508,3.0,100.0
46,tv18brdcst,-12.000000000005457,9987.999999999995,-0.12000000000005456,232.0,0.0
47,utiamc,-123.5,9876.5,-1.2349999999999999,10.0,0.0
48,gpil,149.5999999999931,10149.599999999993,1.495999999999931,11.0,100.0
49,nh,-39.89999999999418,9960.100000000006,-0.39899999999994173,7.0,0.0
50,vijaya,12.699999999991633,10012.699999999992,0.12699999999991632,13.0,100.0
51,csbbank,11.400000000001455,10011.400000000001,0.11400000000001455,26.0,100.0
52,aartiind,-113.09999999999673,9886.900000000003,-1.1309999999999674,13.0,0.0
53,canbk,-28.69999999999345,9971.300000000007,-0.28699999999993453,82.0,0.0
54,persistent,26.299999999999272,10026.3,0.2629999999999927,2.0,100.0
55,vaibhavgbl,-74.75,9925.25,-0.7474999999999999,23.0,0.0
56,paytm,-109.19999999999891,9890.800000000001,-1.0919999999999892,26.0,0.0
57,elgiequip,50.25,10050.25,0.5025,15.0,100.0
58,nam-india,0.0,10000.0,0.0,0.0,0.0
59,aiaeng,0.0,10000.0,0.0,0.0,0.0
60,cholafin,0.0,10000.0,0.0,0.0,0.0
61,fluorochem,0.0,10000.0,0.0,0.0,0.0
62,bataindia,0.0,10000.0,0.0,0.0,0.0
63,exideind,0.0,10000.0,0.0,0.0,0.0
64,mrf,0.0,10000.0,0.0,0.0,0.0
65,ace,0.0,10000.0,0.0,0.0,0.0
66,thermax,0.0,10000.0,0.0,0.0,0.0
67,asterdm,0.0,10000.0,0.0,0.0,0.0
68,delhivery,0.0,10000.0,0.0,0.0,0.0
69,network18,0.0,10000.0,0.0,0.0,0.0
70,apollohosp,0.0,10000.0,0.0,0.0,0.0
71,are_m,0.0,10000.0,0.0,0.0,0.0
72,granules,0.0,10000.0,0.0,0.0,0.0
73,elecon,0.0,10000.0,0.0,0.0,0.0
74,niacl,0.0,10000.0,0.0,0.0,0.0
75,vedl,0.0,10000.0,0.0,0.0,0.0
76,marico,0.0,10000.0,0.0,0.0,0.0
77,tatasteel,0.0,10000.0,0.0,0.0,0.0
78,wipro,0.0,10000.0,0.0,0.0,0.0
79,raymond,0.0,10000.0,0.0,0.0,0.0
80,iti,0.0,10000.0,0.0,0.0,0.0
81,tataelxsi,0.0,10000.0,0.0,0.0,0.0
82,endurance,0.0,10000.0,0.0,0.0,0.0
83,mindacorp,0.0,10000.0,0.0,0.0,0.0
84,gail,0.0,10000.0,0.0,0.0,0.0
85,mhril,0.0,10000.0,0.0,0.0,0.0
86,adaniports,0.0,10000.0,0.0,0.0,0.0
87,mhril,0.0,10000.0,0.0,0.0,0.0
88,network18,0.0,10000.0,0.0,0.0,0.0
89,gpil,0.0,10000.0,0.0,0.0,0.0
90,devyani,0.0,10000.0,0.0,0.0,0.0
91,icicigi,0.0,10000.0,0.0,0.0,0.0
92,redington,0.0,10000.0,0.0,0.0,0.0
93,lxchem,0.0,10000.0,0.0,0.0,0.0
94,beml,0.0,10000.0,0.0,0.0,0.0
95,shreecem,0.0,10000.0,0.0,0.0,0.0
96,tatachem,0.0,10000.0,0.0,0.0,0.0
97,kpil,0.0,10000.0,0.0,0.0,0.0
98,dlf,0.0,10000.0,0.0,0.0,0.0
99,kec,0.0,10000.0,0.0,0.0,0.0
100,vguard,0.0,10000.0,0.0,0.0,0.0
101,suvenphar,0.0,10000.0,0.0,0.0,0.0
102,pghh,0.0,10000.0,0.0,0.0,0.0
103,mphasis,0.0,10000.0,0.0,0.0,0.0
104,syngene,0.0,10000.0,0.0,0.0,0.0
105,gail,0.0,10000.0,0.0,0.0,0.0
106,astral,0.0,10000.0,0.0,0.0,0.0
107,lichsgfin,0.0,10000.0,0.0,0.0,0.0
108,gael,0.0,10000.0,0.0,0.0,0.0
109,mgl,0.0,10000.0,0.0,0.0,0.0
110,epl,0.0,10000.0,0.0,0.0,0.0
111,sbilife,0.0,10000.0,0.0,0.0,0.0
112,yesbank,0.0,10000.0,0.0,0.0,0.0
113,mmtc,0.0,10000.0,0.0,0.0,0.0
114,gujgasltd,0.0,10000.0,0.0,0.0,0.0
115,centuryply,0.0,10000.0,0.0,0.0,0.0
116,torntpharm,0.0,10000.0,0.0,0.0,0.0
117,sunpharma,0.0,10000.0,0.0,0.0,0.0
118,irfc,0.0,10000.0,0.0,0.0,0.0
119,prsmjohnsn,0.0,10000.0,0.0,0.0,0.0
120,j_kbank,0.0,10000.0,0.0,0.0,0.0
121,kei,0.0,10000.0,0.0,0.0,0.0
122,tataelxsi,0.0,10000.0,0.0,0.0,0.0
123,hal,0.0,10000.0,0.0,0.0,0.0
124,cgcl,0.0,10000.0,0.0,0.0,0.0
125,unominda,0.0,10000.0,0.0,0.0,0.0
126,crompton,0.0,10000.0,0.0,0.0,0.0
127,elecon,0.0,10000.0,0.0,0.0,0.0
128,adanipower,0.0,10000.0,0.0,0.0,0.0
129,godrejprop,0.0,10000.0,0.0,0.0,0.0
130,hcltech,0.0,10000.0,0.0,0.0,0.0
131,pidilitind,0.0,10000.0,0.0,0.0,0.0
132,nuvama,0.0,10000.0,0.0,0.0,0.0
133,sapphire,0.0,10000.0,0.0,0.0,0.0
134,heg,0.0,10000.0,0.0,0.0,0.0
135,icicipruli,0.0,10000.0,0.0,0.0,0.0
136,starhealth,0.0,10000.0,0.0,0.0,0.0
137,lxchem,0.0,10000.0,0.0,0.0,0.0
138,centuryply,0.0,10000.0,0.0,0.0,0.0
139,astral,0.0,10000.0,0.0,0.0,0.0
140,rainbow,0.0,10000.0,0.0,0.0,0.0
141,gls,0.0,10000.0,0.0,0.0,0.0
142,indusindbk,0.0,10000.0,0.0,0.0,0.0
143,tatacomm,0.0,10000.0,0.0,0.0,0.0
144,lalpathlab,0.0,10000.0,0.0,0.0,0.0
145,oil,0.0,10000.0,0.0,0.0,0.0
146,powerindia,0.0,10000.0,0.0,0.0,0.0
147,graphite,0.0,10000.0,0.0,0.0,0.0
148,indianb,0.0,10000.0,0.0,0.0,0.0
149,abcapital,0.0,10000.0,0.0,0.0,0.0
150,vtl,0.0,10000.0,0.0,0.0,0.0
151,beml,0.0,10000.0,0.0,0.0,0.0
152,mrf,0.0,10000.0,0.0,0.0,0.0
153,cumminsind,0.0,10000.0,0.0,0.0,0.0
154,mapmyindia,0.0,10000.0,0.0,0.0,0.0
155,godrejprop,0.0,10000.0,0.0,0.0,0.0
156,fluorochem,0.0,10000.0,0.0,0.0,0.0
157,nlcindia,0.0,10000.0,0.0,0.0,0.0
158,asianpaint,0.0,10000.0,0.0,0.0,0.0
159,ttml,0.0,10000.0,0.0,0.0,0.0
160,abbotindia,0.0,10000.0,0.0,0.0,0.0
161,gmdcltd,0.0,10000.0,0.0,0.0,0.0
162,lloydsme,0.0,10000.0,0.0,0.0,0.0
163,varroc,0.0,10000.0,0.0,0.0,0.0
164,nslnisp,0.0,10000.0,0.0,0.0,0.0
165,gujgasltd,0.0,10000.0,0.0,0.0,0.0
166,pfc,0.0,10000.0,0.0,0.0,0.0
167,dmart,0.0,10000.0,0.0,0.0,0.0
168,irctc,0.0,10000.0,0.0,0.0,0.0
169,glaxo,0.0,10000.0,0.0,0.0,0.0
170,rites,0.0,10000.0,0.0,0.0,0.0
171,idfcfirstb,0.0,10000.0,0.0,0.0,0.0
172,fluorochem,0.0,10000.0,0.0,0.0,0.0
173,pncinfra,0.0,10000.0,0.0,0.0,0.0
174,jsl,0.0,10000.0,0.0,0.0,0.0
175,yesbank,0.0,10000.0,0.0,0.0,0.0
176,metropolis,0.0,10000.0,0.0,0.0,0.0
177,iti,0.0,10000.0,0.0,0.0,0.0
178,godrejcp,0.0,10000.0,0.0,0.0,0.0
179,swsolar,0.0,10000.0,0.0,0.0,0.0
180,jmfinancil,0.0,10000.0,0.0,0.0,0.0
181,sumichem,0.0,10000.0,0.0,0.0,0.0
182,unionbank,0.0,10000.0,0.0,0.0,0.0
183,3mindia,0.0,10000.0,0.0,0.0,0.0
184,gppl,0.0,10000.0,0.0,0.0,0.0
185,mapmyindia,0.0,10000.0,0.0,0.0,0.0
186,vbl,0.0,10000.0,0.0,0.0,0.0
187,idfc,0.0,10000.0,0.0,0.0,0.0
188,poonawalla,0.0,10000.0,0.0,0.0,0.0
189,zomato,0.0,10000.0,0.0,0.0,0.0
190,adanigreen,0.0,10000.0,0.0,0.0,0.0
191,nam-india,0.0,10000.0,0.0,0.0,0.0
192,nuvoco,0.0,10000.0,0.0,0.0,0.0
193,srf,0.0,10000.0,0.0,0.0,0.0
194,nykaa,0.0,10000.0,0.0,0.0,0.0
195,elecon,0.0,10000.0,0.0,0.0,0.0
196,aiaeng,0.0,10000.0,0.0,0.0,0.0
197,mfsl,0.0,10000.0,0.0,0.0,0.0
198,oil,0.0,10000.0,0.0,0.0,0.0
199,sbilife,0.0,10000.0,0.0,0.0,0.0
200,nifty50,0.0,10000.0,0.0,0.0,0.0
